Status,Source Page,Source Row,Association,Challenge Name,OCR Name,OCR Association,Start Date,End Date,Golfers,Ranked Golfers,Scores Posted,Metric Source
Active,2,14,Metropolitan Golf Association,BRIDGE GC (ndlana,COVERED BRIDGE GC Challenge,Indiana Golf Association,2026-05-02,2026-08-31,100,45,436,full-page OCR | full-page OCR | full-page OCR
Active,2,15,Northern California Golf Association,Fall Classic '26 - Seputveda Souther,SCGA Fall Classic '26 - Sepulveda,Southern California Golf Associ...,2026-08-17,2026-10-31,53,0,46,full-page OCR | visual zero | full-page OCR
Active,2,16,Montana State Golf Association,2026 GHIN Challenge @ Double Arrow Go...,Middle/North Challenge,Idaho Golf Association,2026-07-01,2026-08-31,4,2,19,full-page OCR | full-page OCR | full-page OCR
Active,2,17,Western Pennsylvania Golf Association,Blue Course Challenge,White Course Challenge,Western Pennsylvania Golf Asso….,2026-06-01,2026-09-01,76,23,297,full-page OCR | full-page OCR | full-page OCR
Active,2,18,Washington Golf,The Home Course Challenge,The Home Course Challenge,Washington Golf,2026-06-01,2026-08-31,594,125,1421,full-page OCR | full-page OCR | full-page OCR
Active,2,19,Idaho Golf Association,Sand Creek Golf Course Challenge,Sand Creek Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,43,16,136,full-page OCR | full-page OCR | full-page OCR
Active,2,20,Carolinas Golf Association,Aiken GC Challenge,Wildwood Green GC Challenge,Carolinas Golf Association,2026-08-01,2026-08-31,167,93,570,full-page OCR | full-page OCR | full-page OCR
Active,2,21,Western Pennsylvania Golf Association,White Course Challenge,Blue Course Challenge,Western Pennsylvania Golf Asso…..,2026-06-01,2026-09-01,94,29,347,full-page OCR | full-page OCR | full-page OCR
Active,2,22,Northern California Golf Association,Fall Classic '26 - Coronado. Southern,SCGA Fall Classic '26 - Coronado,Southern California Golf Associ….,2026-08-17,2026-10-31,56,4,71,full-page OCR | full-page OCR | full-page OCR
Active,2,23,Northern California Golf Association,Fall Classic'26 - San Clamente Southern,SCGA Fall Classic '26 - San Clemente,Southern California Golf Associ...,2026-08-17,2026-10-31,69,2,73,full-page OCR | full-page OCR | full-page OCR
Active,2,24,Montana State Golf Association,2026 GHIN Challenge @ Ponderosa Butte ...,2026 GHIN Challenge @ Pondera Golf Cou...,Montana State Golf Association,2026-08-01,2026-08-31,1,0,0,full-page OCR | corrected detail | corrected detail
Active,2,25,Metropolitan Golf Association,GHIN Challenge @ Northern Pinas... MontanaStateGolfAssaciation,2026 GHIN Challenge_@ Northern Pines G...,Montana State Golf Association,2026-08-01,2026-08-31,65,25,171,full-page OCR | full-page OCR | full-page OCR
Active,3,1,Idaho Golf Association,River Birch Golf Course Challenge,River Birch Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,74,30,300,full-page OCR | full-page OCR | full-page OCR
Active,3,2,Idaho Golf Association,Challenge Course Challenge,South/West Challenge,Idaho Golf Association,2026-07-01,2026-08-31,23,8,50,full-page OCR | full-page OCR | full-page OCR
Active,3,3,Texas Golf Association,Cottonwood Creek Golf Course 2026 Sum...,Cottonwood Creek Golf Course 2026 Sum...,Texas Golf Association,2026-06-01,2026-08-29,54,29,254,full-page OCR | full-page OCR | full-page OCR
Active,3,4,Idaho Golf Association,Jug Mountain Ranch Challenge,Jug Mountain Ranch Challenge,Idaho Golf Association,2026-07-01,2026-08-31,47,18,165,full-page OCR | full-page OCR | full-page OCR
Active,3,5,Texas Golf Association,Shady Oaks Golf Course 2026 Summer Ch...,Shady_Oaks Golf Course 2026 Summer Ch...,Texas Golf Association,2026-06-03,2026-08-31,34,25,270,full-page OCR | full-page OCR | full-page OCR
Active,3,6,Idaho Golf Association,Indian Lakes Golf Course Challenge,Indian Lakes Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,2,0,2,full-page OCR | corrected detail | full-page OCR
Active,3,7,Idaho Golf Association,Island Park Village Golf Course Challenge,Island Park Village Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,3,8,GAP,Challenge at John F. Byrne Golf Course =,GAP Challenge at John F. Byrne Golf Course,GAP,2026-08-14,2026-09-28,26,1,27,full-page OCR | corrected detail | full-page OCR
Active,3,9,Montana State Golf Association,‘RORE-GHIN HllisG...,2026 GHIN Challenge_@ Anaconda Hills G...,Montana State Golf Association,2026-08-01,2026-08-31,14,2,23,full-page OCR | row-context OCR | full-page OCR
Active,3,10,Metropolitan Golf Association,2026 IGA GHIN Throwdown - Willow Creek,2026 IGA GHIN Throwdown - Willow Creek,lowa Golf Association,2026-08-15,2026-09-15,4,0,3,full-page OCR | corrected detail | visual review
Active,3,11,Idaho Golf Association,South/Middle Challenge,Cadet Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,3,12,Southern California Golf Association,‘SCGA Fall Classic '26-TheGolfClubat Aa...,SCGA Fall Classic '26 - The Golf Club at Ra...,Southern California Golf Associ...,2026-08-17,2026-10-31,32,0,25,full-page OCR | corrected detail | full-page OCR
Active,3,13,Texas Golf Association,Max Starcke Park Golf Course 2026 Summ...,Max Starcke Park Golf Course 2026 Summ...,Texas Golf Association,2026-06-01,2026-08-29,69,25,216,full-page OCR | full-page OCR | full-page OCR
Active,3,14,Montana State Golf Association,2026 GHIN Challenge @ Valley View Golf...,2026 GHIN Challenge_ @ Cabinet View Gol... Montana State Golf Association,,2026-08-01,2026-08-31,26,13,80,full-page OCR | full-page OCR | full-page OCR
Active,3,15,Idaho Golf Association,Jefferson Hills Golf Course Challenge,Riverside Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,52,35,273,full-page OCR | full-page OCR | full-page OCR
Active,3,16,Idaho Golf Association,Cedar/Aspen Challenge,Cedar/Aspen Challenge,Idaho Golf Association,2026-07-01,2026-08-31,3,0,2,full-page OCR | visual review | full-page OCR
Active,3,17,Idaho Golf Association,Freedom Course Challenge,Freedom Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,3,18,Idaho Golf Association,Pierce Park Greens Challenge,Pierce Park Greens Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,3,19,Idaho Golf Association,Bronze Buffalo Ranch at Teton Springs Cha...,Bronze Buffalo Ranch at Teton Springs Cha...,Idaho Golf Association,2026-07-01,2026-08-31,49,32,231,full-page OCR | full-page OCR | full-page OCR
Active,3,20,Southern California Golf Association,Fall Cssic ‘26 - tives Links,SCGA Fall Classic '26 - Olivas Links,Southern California Golf Associ…..,2026-08-17,2026-10-31,35,1,28,full-page OCR | corrected detail | full-page OCR
Active,3,21,Greater Cincinnati Golf Association,World of Golf Challenge,River Park Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,3,22,Montana State Golf Association,GHIN @tickory Swing Ga...,2026 GHIN Challenge_@ Hickory_Swing Go…,Montana State Golf Association,2026-08-01,2026-08-31,9,4,25,full-page OCR | full-page OCR | full-page OCR
Active,3,23,Southern California Golf Association,Fall ‘26 - Twin Oaks,SCGA Fall Classic '26 - Twin Oaks,Southern California Golf Associ…..,2026-08-17,2026-10-31,37,1,28,full-page OCR | visual review | full-page OCR
Active,3,24,Idaho Golf Association,Sage Lakes Golf Course Challenge,Sage Lakes Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,33,13,90,full-page OCR | full-page OCR | full-page OCR
Active,3,25,Southern California Golf Association,"Fall Clasale ""26 - Rancho Park",SCGA Fall Classic 26 - Rancho Park,Southern California Golf Associ...,2026-08-17,2026-10-31,55,1,52,full-page OCR | visual review | full-page OCR
Active,4,1,Southern California Golf Association,Fall classic '26 - Goose Crook,SCGA Fall Classic '26 - Goose Creek,Southern California Golf Associ….,2026-08-17,2026-10-31,77,2,76,full-page OCR | full-page OCR | full-page OCR
Active,4,2,Greater Cincinnati Golf Association,Harmon Golf Club Challenge,Westfields Golf Club Challenge,Virginia State Golf Association,2026-08-01,2026-08-31,65,20,162,full-page OCR | full-page OCR | full-page OCR
Active,4,3,Metropolitan Golf Association,Chatlonge,Park/Highlands Challenge,Wyoming State / Colorado GA,2026-07-20,2026-08-31,32,7,48,full-page OCR | full-page OCR | full-page OCR
Active,4,4,Montana State Golf Association,2026 GHIN Challenge @ Cottonwood Cou...,GSGA GHIN Challenge,Georgia State Golf Association,2026-05-04,2026-08-31,181,65,870,full-page OCR | full-page OCR | full-page OCR
Active,4,5,Idaho Golf Association,Hillcrest Country Club Challenge,Hillcrest Country Club Challenge,Idaho Golf Association,2026-07-01,2026-08-31,123,83,728,full-page OCR | full-page OCR | full-page OCR
Active,4,6,Southern California Golf Association,"Fall Classic ""26 - Conta Mesa",SCGA Fall Classic '26 - Costa Mesa,Southern California Golf Associ….,2026-08-17,2026-10-31,54,2,41,full-page OCR | full-page OCR | full-page OCR
Active,4,7,Texas Golf Association,Ratliff Ranch Golf Links 2026 Summer Cha...,Ratliff Ranch Golf Links 2026 Summer Cha...,Texas Golf Association,2026-05-27,2026-08-24,59,35,255,full-page OCR | full-page OCR | full-page OCR
Active,4,8,Golf Association of Michigan,CHANDLER PARK GOLF COURSE Challenge,Montpelier Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,5,2,26,visual review | full-page OCR | full-page OCR
Active,4,9,Greater Cincinnati Golf Association,Hillsboro Etks Golf Club Challenge,Blue Hills Golf Club Challenge,Virginia State Golf Association,2026-08-01,2026-08-31,52,25,162,full-page OCR | full-page OCR | full-page OCR
Active,4,10,Southern California Golf Association,fall Classic ‘26 - Encinitas Ranch,SCGA Fall Classic '26 - Encinitas Ranch,Southern California Golf Associ.,2026-08-17,2026-10-31,62,0,53,full-page OCR | corrected detail | full-page OCR
Active,4,11,Rochester District Golf Association,2026 RDGA Ravenwood Challenge,South/Middle Challenge,Idaho Golf Association,2026-07-01,2026-08-31,2,0,2,row-context OCR | corrected detail | full-page OCR
Active,4,12,Idaho Golf Association,Terrace Lakes Golf Course Challenge,Terrace Lakes Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,33,18,122,full-page OCR | full-page OCR | full-page OCR
Active,4,13,Montana State Golf Association,GHIN Challenge @ Black Bull Challe...,2026 GHIN Challenge @ Black Bull Challe…,Montana State Golf Association,2026-08-01,2026-08-31,63,27,176,full-page OCR | full-page OCR | full-page OCR
Active,4,14,Idaho Golf Association,RedHawk Golf Course Challenge,Challenge Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,4,15,Idaho Golf Association,Montpelier Golf Course Challenge,Cascade Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,8,2,20,full-page OCR | row-context OCR | full-page OCR
Active,4,16,Ohio Golf Association,July Safari GC Challenge,Lake Marion GC Challenge,Carolinas Golf Association,2026-08-01,2026-08-31,45,3,55,full-page OCR | full-page OCR | full-page OCR
Active,4,17,Idaho Golf Association,Hazard Creek Golf Course Challenge,Hazard Creek Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,2,1,7,full-page OCR | corrected detail | full-page OCR
Active,4,18,Idaho Golf Association,Shadow Valley Golf Course Challenge,Pleasant Valley_Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,4,19,Idaho Golf Association,Boise Ranch Golf Course Challenge,Boise Ranch Golf Course Challenge|,Idaho Golf Association,2026-07-01,2026-08-31,78,45,346,full-page OCR | full-page OCR | full-page OCR
Active,4,20,Idaho Golf Association,Trail Creek Challenge,Trail Creek Challenge,Idaho Golf Association,2026-07-01,2026-08-31,59,29,356,full-page OCR | full-page OCR | full-page OCR
Active,4,21,Idaho Golf Association,Preston Country Club Challenge,Jerome Country _Club Challenge,Idaho Golf Association,2026-07-01,2026-08-31,56,41,371,full-page OCR | full-page OCR | full-page OCR
Active,4,22,Greater Cincinnati Golf Association,Hidden Valley Golf Club Challenge,MILL VALLEY GOLF LINKS Challenge,Mass Golf,2026-08-15,2026-09-30,26,5,46,full-page OCR | full-page OCR | full-page OCR
Active,4,23,Southern California Golf Association,Fall Classic'26 Rancho San Joaquin,SCGA Fall Classic '26 - Rancho San Joaquin,Southern California Golf Associ….,2026-08-17,2026-10-31,50,2,45,full-page OCR | corrected detail | full-page OCR
Active,4,24,Indiana Golf Association,Autumn Ridge Golf Club Challenge,Autumn Ridge Golf Club Challenge,Indiana Golf Association,2026-05-02,2026-08-31,36,15,236,full-page OCR | full-page OCR | full-page OCR
Active,4,25,Idaho Golf Association,South/West Challenge,North/West Challenge,Idaho Golf Association,2026-07-01,2026-08-31,12,5,30,full-page OCR | full-page OCR | full-page OCR
Active,5,1,Ohio Golf Association,July Delaware Golf Club Challenge,Hiawatha Golf Club Challenge,Minnesota Golf Association,2026-08-07,2026-10-01,26,4,41,full-page OCR | full-page OCR | full-page OCR
Active,5,2,Idaho Golf Association,Wee Nine Challenge,Wee Nine Challenge,Idaho Golf Association,2026-07-01,2026-08-31,3,2,10,visual review | corrected detail | full-page OCR
Active,5,3,Texas Golf Association,Canyon Springs Golf Club 2026 Summer...,Canyon Springs Golf Club 2026 Summer C...,Texas Golf Association,2026-06-01,2026-08-29,123,67,650,full-page OCR | full-page OCR | full-page OCR
Active,5,4,Idaho Golf Association,The Links at Teton Peaks Challenge,The Links at Teton Peaks Challenge,Idaho Golf Association,2026-07-01,2026-08-31,43,20,161,full-page OCR | full-page OCR | full-page OCR
Active,5,5,Idaho Golf Association,Tributary Golf Club Challenge,Tributary Golf Club Challenge,Idaho Golf Association,2026-07-01,2026-08-31,39,20,161,full-page OCR | full-page OCR | full-page OCR
Active,5,6,Idaho Golf Association,Emmett City Golf Course Challenge,Emmett City Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,10,7,76,full-page OCR | full-page OCR | full-page OCR
Active,5,7,Idaho Golf Association,Desert Canyon Golf Course Challenge,Desert Canyon Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,28,15,158,full-page OCR | full-page OCR | full-page OCR
Active,5,8,Indiana Golf Association,Ackerman-Allen Course Challenge,Ackerman-Allen Course Challenge,Indiana Golf Association,2026-05-02,2026-08-31,83,21,204,full-page OCR | full-page OCR | full-page OCR
Active,5,9,Idaho Golf Association,Gooding Country Club Challenge,Gooding Country Club Challenge,Idaho Golf Association,2026-07-01,2026-08-31,7,4,36,row-context OCR | row-context OCR | full-page OCR
Active,5,10,Georgia State Golf Association,GSGA GHIN Challenge,GSGA GHIN Challenge,Georgia State Golf Association,2026-05-04,2026-08-31,71,48,560,full-page OCR | full-page OCR | full-page OCR
Active,5,11,Idaho Golf Association,Country View Golf Course Challenge,Country View Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,10,7,50,full-page OCR | corrected detail | full-page OCR
Active,5,12,Oklahoma Golf Association,‘Stone Creek Open,Stone Creek Open,Oklahoma Golf Association,2026-08-01,2026-09-30,86,13,100,full-page OCR | full-page OCR | full-page OCR
Active,5,13,Alabama Golf Association,Pikeville Country Club Challenge,SWANSEA COUNTRY CLUB Challenge,Mass Golf,2026-08-15,2026-09-30,33,1,39,full-page OCR | row-context OCR | full-page OCR
Active,5,14,Idaho Golf Association,Fairview Golf Course Challenge,Fairview Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,7,7,39,full-page OCR | corrected detail | full-page OCR
Active,5,15,Montana State Golf Association,2026 GHIN Challenge @ Lake Hills Golf Cl...,2026 GHIN Challenge @ Johnny Walker C...,Montana State Golf Association,2026-08-01,2026-08-31,42,4,53,full-page OCR | corrected detail | full-page OCR
Active,5,16,Idaho Golf Association,Fremont County Golf Course Challenge,Fremont County Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,9,6,62,full-page OCR | row-context OCR | full-page OCR
Active,5,17,Washington Golf,‘2026 1GA.GHIN Throwdown - Te,2026 IGA GHIN Throwdown - TCI,lowa Golf Association,2026-08-15,2026-09-15,17,2,17,full-page OCR | full-page OCR | full-page OCR
Active,5,18,Texas Golf Association,Lady Bird Johnson Golf Course 2026 Sum...,Lady Bird Johnson Golf Course 2026 Sum..,Texas Golf Association,2026-06-02,2026-08-30,78,32,453,full-page OCR | full-page OCR | full-page OCR
Active,5,19,Southern California Golf Association,SCGA fall Classic '26 - Mile Square,SCGA Fall Classic '26 - Mile Square,Southern California Golf Associ…..,2026-08-17,2026-10-31,46,1,48,full-page OCR | full-page OCR | full-page OCR
Active,5,20,Mass Golf,NEWTON CONMONWEALTHGE Challange,NEWTON COMMONWEALTH GC Challenge,Mass Golf,2026-08-15,2026-09-30,58,7,76,full-page OCR | row-context OCR | full-page OCR
Active,5,21,Metropolitan Golf Association,‘SCGA Fall Classic '26 - TrllogyGolfClub at...,SCGA Fall Classic '26 - Trilogy Golf Club at...,Southern California Golf Associ…..,2026-08-17,2026-10-31,22,0,23,full-page OCR | corrected detail | full-page OCR
Active,5,22,Indiana Golf Association,The Warren Golf Course at Notre Dame Ch...,The Warren Golf Course at Notre Dame Ch...,Indiana Golf Association,2026-05-02,2026-08-31,78,19,218,full-page OCR | full-page OCR | full-page OCR
Active,5,23,Idaho Golf Association,Bigwood Golf Course Challenge,Bigwood Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,14,9,49,full-page OCR | full-page OCR | full-page OCR
Active,5,24,Idaho Golf Association,Challis Golf Course Challenge,Challis Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,3,0,3,row-context OCR | corrected detail | full-page OCR
Active,5,25,Mass Golf,‘SCGA Fall Clastic '26 - Tieras Creek,SCGA Fall Classic '26 - Tjjeras Creek,Southern California Golf Associ…..,2026-08-17,2026-10-31,40,1,37,full-page OCR | corrected detail | full-page OCR
Active,6,1,Idaho Golf Association,Idaho Falls Country Club Challenge,Idaho Falls Country_Club Challenge,Idaho Golf Association,2026-07-01,2026-08-31,57,35,236,full-page OCR | full-page OCR | full-page OCR
Active,6,2,Texas Golf Association,Cleburne Golf Links 2026 Summer Challen...,Cleburne Golf Links 2026 Summer Challenge,Texas Golf Association,2026-06-01,2026-08-29,42,22,241,full-page OCR | full-page OCR | full-page OCR
Active,6,3,Texas Golf Association,Alamo City Golf Trail-Brackenridge Golf Co...,Alamo City Golf Trail-Brackenridge Golf Co...,Texas Golf Association,2026-05-28,2026-08-25,157,44,314,full-page OCR | full-page OCR | full-page OCR
Active,6,4,Idaho Golf Association,Chimney Rock Golf Course Challenge,Chimney Rock Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,12,5,34,full-page OCR | full-page OCR | full-page OCR
Active,6,5,Idaho Golf Association,Juniper Hills Country Club Challenge,Juniper Hills Country_Club Challenge,Idaho Golf Association,2026-07-01,2026-08-31,17,7,41,full-page OCR | full-page OCR | full-page OCR
Active,6,6,Idaho Golf Association,Osprey Meadows at Tamarack Challenge,Osprey Meadows at Tamarack Challenge,Idaho Golf Association,2026-07-01,2026-08-31,30,10,69,full-page OCR | full-page OCR | full-page OCR
Active,6,7,Idaho Golf Association,Middle/North Challenge,North/South Challenge,Idaho Golf Association,2026-07-01,2026-08-31,27,14,87,full-page OCR | full-page OCR | full-page OCR
Active,6,8,Northern California Golf Association,"Fall Classic ""26 - Diamond Bar",SCGA Fall Classic '26 - Diamond Bar,Southern California Golf Associ….,2026-08-17,2026-10-31,33,0,21,full-page OCR | corrected detail | full-page OCR
Active,6,9,Texas Golf Association,Woodland Hills Golf Club 2026 Summer C...,Woodland Hills Golf Club 2026 Summer C...,Texas Golf Association,2026-06-01,2026-08-29,23,15,215,full-page OCR | full-page OCR | full-page OCR
